id,nome,tipo,atividade_tipo,duplicatas
351b2a12-99b3-40ae-9f2c-00abaae62afd,Pagamento parcial de 20 sc de milho - pago 1000...,RECEITA,RURAL,1
59b4ad42-b9b6-498f-81bc-a786f47f6c80,Servicos Prestados,RECEITA,RURAL,1
e4628672-11bf-44ab-8f6f-9930a9be421b,Teste,RECEITA,RURAL,1
37bd4a07-ed6f-4009-a1fc-d41fe070b7c3,venda de 10 carneiros por 7000,RECEITA,RURAL,1
3dbaf15f-3983-4e05-8d83-241d5288bc2a,venda de 1 borregos,RECEITA,RURAL,1
92519c80-e311-4215-9684-15268c1fcf93,Venda de 9 cabeças Paulo Mundico,RECEITA,RURAL,1
31352db1-bfa5-460e-a7cb-c248814d1c8d,Venda de Bezerros,RECEITA,RURAL,1
93f28dea-0242-462c-a4ef-65eed3478815,Venda de Bovinos,RECEITA,RURAL,1
fb8fb6e8-f158-4ef3-b695-cf9bf604e1e8,Venda de Milho,RECEITA,RURAL,1
7b8051f9-63b2-4f9d-92ab-c42db66993d5,Venda de produção Animais - Venda,RECEITA,RURAL,1
adf548e1-df96-4804-96e6-c19fc116805f,Venda de produção Vacas lactação a pasto 25/26,RECEITA,RURAL,1
5b0905f0-3f6a-4bd3-a4c7-89f8b7c39902,Venda de Soja,RECEITA,RURAL,1
2e844c3a-4cd5-435b-9588-c8afa9a47288,Ventilador de resfriamento de vacas,RECEITA,RURAL,1
